date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.108719286801
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.065231572081
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Alpha,15.0,2.84,14.42857142857,2.370892018779
2021-02-04,California,State,Total,528.0,100.0,608.57142857142,100.0
2021-02-04,California,State,Other,107.0,20.27,148.0,24.319248826291
2021-02-04,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.046948356808
2021-02-04,California,State,Epsilon,406.0,76.89,445.57142857142,73.215962441315
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023474178404
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023474178404
2021-02-05,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Other,75.0,26.6,151.14285714285,24.428538443777
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.023089355807
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Total,282.0,100.0,618.71428571428,100.0
2021-02-05,California,State,Epsilon,184.0,65.25,451.14285714285,72.916185638421
2021-02-05,California,State,Alpha,23.0,8.16,16.28571428571,2.632186561995
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Epsilon,270.0,70.31,478.42857142857,72.693726937269
2021-02-06,California,State,Alpha,15.0,3.91,18.14285714285,2.75667462557
2021-02-06,California,State,Total,384.0,100.0,658.14285714285,100.0
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.021706099414
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Other,99.0,25.78,161.42857142857,24.527892337747
2021-02-07,California,State,Alpha,4.0,1.83,18.42857142857,2.812295618051
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Total,218.0,100.0,655.28571428571,100.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.021800741225
2021-02-07,California,State,Delta,1.0,0.46,0.14285714285,0.021800741225
2021-02-07,California,State,Epsilon,170.0,77.98,480.71428571428,73.359494222804
2021-02-07,California,State,Other,43.0,19.72,155.85714285714,23.784608676695
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Total,496.0,100.0,613.85714285714,100.0
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Other,110.0,22.18,139.85714285714,22.783337212008
2021-02-08,California,State,Epsilon,368.0,74.19,454.14285714285,73.981847800791
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Alpha,18.0,3.63,19.57142857142,3.188270886665
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023272050268
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Delta,0.0,0.0,0.14285714285,0.023272050268
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.027487630566
2021-02-09,California,State,Epsilon,472.0,73.41,382.57142857142,73.611874656405
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Alpha,22.0,3.42,18.0,3.463441451347
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Delta,0.0,0.0,0.14285714285,0.027487630566
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Total,643.0,100.0,519.71428571428,100.0
2021-02-09,California,State,Other,149.0,23.17,118.85714285714,22.869708631116
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Alpha,21.0,3.85,16.85714285714,3.811369509044
2021-02-10,California,State,Other,160.0,29.36,106.14285714285,23.998708010336
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-10,California,State,Epsilon,364.0,66.79,319.14285714285,72.157622739018
2021-02-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-10,California,State,Total,545.0,100.0,442.28571428571,100.0
2021-02-10,California,State,Delta,0.0,0.0,0.14285714285,0.032299741602
